note_id,text,task,completed
1,"CNF on ELP verified; CNF emailed.",Sign Engagement Letter,1
2,"Waiting on MRI to finalize DML.",Create Demand,0
3,"Reminder: ELP still unsigned.",Sign Engagement Letter,0
4,"Paralegal PTO noted in CMS.",none,0
5,"Left VM for routine check-in.",Client Check-in,0
6,"Follow-up: MRQ incomplete, missing DOB.",Request Medical Records,0
7,"System DOC cleanup in CMS.",none,0
8,"Completed two-week check-in; added PTN.",Client Check-in,1
9,"Draft MRQ; waiting on SIG.",Request Medical Records,0
10,"SIG on ELP verified; CNF emailed.",Sign Engagement Letter,1
11,"Hospital shipped MRX.",Request Medical Records,1
12,"Team lunch Friday.",none,0
13,"IQ received; CNF sent to client.",Intake Call,1
14,"FUP executed; client stable.",Client Check-in,1
15,"Drafted MRQ; waiting on SIG.",Request Medical Records,0
16,"Completed intake call; SIG captured on IQ.",Intake Call,1
17,"Updated SOL tracker.",none,0
18,"ELP uploaded to CMS.",Sign Engagement Letter,1
19,"Draft DML ready; needs totals before DPK.",Create Demand,0
20,"Need client to finish IQ.",Intake Call,0
21,"Check-in pending; awaiting VM return.",Client Check-in,0
22,"Draft DML ready; needs totals before DPK.",Create Demand,0
23,"Faxed MRQ; got CNF.",Request Medical Records,1
24,"Sent VM; awaiting callback to complete IQ.",Intake Call,0
25,"Sent certified DML; CNF received.",Create Demand,1
26,"VM left; awaiting callback to complete IQ.",Intake Call,0
27,"Assembled DPK; attorney review pending.",Create Demand,0
28,"Weekly KPI exported to DOC.",none,0
29,"Client rescheduled check-in; update FUP.",Client Check-in,0
30,"Waiting on MRI to finalize DML.",Create Demand,0
31,"Drafted MRQ; waiting on SIG.",Request Medical Records,0
32,"SIG on ELP verified; CNF emailed.",Sign Engagement Letter,1
33,"Scheduled intake call; VM sent.",Intake Call,0
34,"Assembled DPK; attorney review pending.",Create Demand,0
35,"Hospital shipped MRX.",Request Medical Records,1
36,"Received executed ELP.",Sign Engagement Letter,1
37,"Updated SOL tracker.",none,0
38,"CNF on ELP verified; CNF emailed.",Sign Engagement Letter,1
39,"Follow-up: MRQ incomplete, missing DOB.",Request Medical Records,0
40,"Completed two-week check-in; added PTN.",Client Check-in,1
